Target,File,Function,LOC,Vulnerable
libpng,pngerror.c,png_error,5,False
libpng,pngerror.c,png_default_error,3,False
libpng,pngerror.c,png_longjmp,5,False
libpng,pngerror.c,png_safecat,9,False
libpng,pngerror.c,png_format_number,33,False
libpng,pngerror.c,png_benign_error,12,False
libpng,pngerror.c,png_chunk_error,6,False
libpng,pngerror.c,png_format_buffer,23,False
libpng,pngerror.c,png_app_warning,5,False
libpng,pngerror.c,png_app_error,5,False
libpng,pngerror.c,png_chunk_benign_error,6,False
libpng,pngerror.c,png_chunk_report,6,False
libpng,pngerror.c,png_fixed_error,11,False
libpng,pngerror.c,png_set_longjmp_fn,25,False
libpng,pngmem.c,png_malloc_warn,9,False
libpng,pngmem.c,png_malloc_base,7,False
libpng,pngerror.c,png_free_jmpbuf,19,False
libpng,pngmem.c,png_free,7,False
libpng,pngmem.c,png_free_default,5,False
libpng,pngerror.c,png_set_error_fn,8,False
libpng,pngerror.c,png_get_error_ptr,5,False
libpng,pngerror.c,png_safe_error,13,False
libpng,pngerror.c,png_safe_execute,15,False
libpng,png.c,png_image_free,7,True
libpng,pngget.c,png_get_valid,6,False
libpng,pngget.c,png_get_rowbytes,5,False
libpng,pngget.c,png_get_rows,5,False
libpng,pngget.c,png_get_image_width,5,False
libpng,pngget.c,png_get_image_height,5,False
libpng,pngget.c,png_get_bit_depth,5,False
libpng,pngget.c,png_get_color_type,5,False
libpng,pngget.c,png_get_filter_type,5,False
libpng,pngget.c,png_get_interlace_type,5,False
libpng,pngget.c,png_get_compression_type,5,False
libpng,pngget.c,png_get_x_pixels_per_meter,9,False
libpng,pngget.c,png_get_y_pixels_per_meter,9,False
libpng,pngget.c,png_get_pixels_per_meter,9,False
libpng,pngget.c,png_get_pixel_aspect_ratio,10,False
libpng,pngget.c,png_get_pixel_aspect_ratio_fixed,14,False
libpng,png.c,png_muldiv,16,False
libpng,pngget.c,png_get_x_offset_microns,8,False
libpng,pngget.c,png_get_y_offset_microns,8,False
libpng,pngget.c,png_get_x_offset_pixels,8,False
libpng,pngget.c,png_get_y_offset_pixels,8,False
libpng,pngget.c,png_get_pixels_per_inch,2,False
libpng,pngget.c,ppi_from_ppm,7,False
libpng,pngget.c,png_get_x_pixels_per_inch,2,False
libpng,pngget.c,png_get_y_pixels_per_inch,2,False
libpng,pngget.c,png_get_x_offset_inches_fixed,4,False
libpng,pngget.c,png_fixed_inches_from_microns,2,False
libpng,png.c,png_muldiv_warn,8,False
libpng,pngget.c,png_get_y_offset_inches_fixed,4,False
libpng,pngget.c,png_get_x_offset_inches,2,False
libpng,pngget.c,png_get_y_offset_inches,2,False
libpng,pngget.c,png_get_pHYs_dpi,23,False
libpng,pngget.c,png_get_channels,5,False
libpng,pngget.c,png_get_signature,5,False
libpng,pngget.c,png_get_bKGD,9,False
libpng,pngget.c,png_get_cHRM,24,False
libpng,pngget.c,png_get_cHRM_XYZ,27,False
libpng,pngget.c,png_get_cHRM_XYZ_fixed,29,False
libpng,pngget.c,png_get_cHRM_fixed,25,False
libpng,pngget.c,png_get_gAMA_fixed,9,False
libpng,pngget.c,png_get_gAMA,9,False
libpng,pngget.c,png_get_sRGB,8,False
libpng,pngget.c,png_get_iCCP,14,False
libpng,pngget.c,png_get_sPLT,7,False
libpng,pngget.c,png_get_eXIf,6,False
libpng,pngget.c,png_get_eXIf_1,9,False
libpng,pngget.c,png_get_hIST,8,False
libpng,pngget.c,png_get_IHDR,25,False
libpng,png.c,png_check_IHDR,76,True
libpng,png.c,png_gt,2,False
libpng,pngget.c,png_get_oFFs,11,False
libpng,pngget.c,png_get_pCAL,17,False
libpng,pngget.c,png_get_sCAL_fixed,10,False
libpng,png.c,png_fixed,5,False
libpng,pngget.c,png_get_sCAL,10,False
libpng,pngget.c,png_get_sCAL_s,10,False
libpng,pngget.c,png_get_pHYs,19,False
libpng,pngget.c,png_get_PLTE,9,False
libpng,pngget.c,png_get_sBIT,8,False
libpng,pngget.c,png_get_text,12,False
libpng,pngget.c,png_get_tIME,8,False
libpng,pngget.c,png_get_tRNS,25,False
libpng,pngget.c,png_get_unknown_chunks,7,False
libpng,pngget.c,png_get_rgb_to_gray_status,2,False
libpng,pngget.c,png_get_user_chunk_ptr,2,False
libpng,pngget.c,png_get_compression_buffer_size,5,False
libpng,pngget.c,png_get_user_width_max,2,False
libpng,pngget.c,png_get_user_height_max,2,False
libpng,pngget.c,png_get_chunk_cache_max,2,False
libpng,pngget.c,png_get_chunk_malloc_max,2,False
libpng,pngget.c,png_get_io_state,2,False
libpng,pngget.c,png_get_io_chunk_type,2,False
libpng,pngget.c,png_get_palette_max,5,False
libpng,pngmem.c,png_destroy_png_struct,8,False
libpng,pngmem.c,png_calloc,6,False
libpng,pngmem.c,png_malloc,9,False
libpng,pngmem.c,png_malloc_array,4,False
libpng,pngmem.c,png_malloc_array_checked,7,False
libpng,pngmem.c,png_realloc_array,16,False
libpng,pngmem.c,png_malloc_default,9,False
libpng,pngmem.c,png_set_mem_fn,8,False
libpng,pngmem.c,png_get_mem_ptr,5,False
libpng,png.c,png_set_sig_bytes,10,False
libpng,png.c,png_sig_cmp,12,False
libpng,png.c,png_zalloc,10,False
libpng,png.c,png_zfree,3,False
libpng,png.c,png_reset_crc,3,False
libpng,png.c,png_calculate_crc,22,False
libpng,png.c,png_user_version_check,18,False
libpng,png.c,png_create_png_struct,29,False
libpng,png.c,png_create_info_struct,9,False
libpng,png.c,png_destroy_info_struct,13,False
libpng,png.c,png_free_data,119,False
libpng,png.c,png_info_init_3,14,False
