Analyzer_Comb,Comb_Token,Target,N_All_Fcts,N_Marked_Fcts,Ratio_Marked_Fcts
flawfinder,FLF,libpng,398,22,0.05527638190954774
flawfinder,FLF,libtiff,826,18,0.021791767554479417
flawfinder,FLF,libxml2,2982,68,0.022803487592219986
flawfinder,FLF,poppler,4659,105,0.022537025112685124
flawfinder,FLF,openssl,13036,444,0.03405952746241178
flawfinder,FLF,php,9145,368,0.040240568616730456
flawfinder,FLF,sqlite3,2298,132,0.057441253263707574
flawfinder,FLF,ffmpeg,17788,1048,0.05891612322914324
flawfinder,FLF,binutils,4071,423,0.10390567428150331
cppcheck,CPC,libpng,398,0,0.0
cppcheck,CPC,libtiff,826,0,0.0
cppcheck,CPC,libxml2,2982,13,0.004359490274983233
cppcheck,CPC,poppler,4659,29,0.006224511697789225
cppcheck,CPC,openssl,13036,277,0.021248849340288433
cppcheck,CPC,php,9145,189,0.020667031164570804
cppcheck,CPC,sqlite3,2298,52,0.022628372497824196
cppcheck,CPC,ffmpeg,17788,761,0.04278165055093321
cppcheck,CPC,binutils,4071,77,0.018914271677720463
infer,IFR,libpng,398,18,0.04522613065326633
infer,IFR,libtiff,826,48,0.05811138014527845
infer,IFR,libxml2,2982,49,0.01643192488262911
infer,IFR,poppler,4659,95,0.020390641768619877
infer,IFR,openssl,13036,849,0.06512733967474685
infer,IFR,php,9145,519,0.05675232367413888
infer,IFR,sqlite3,2298,143,0.06222802436901654
infer,IFR,ffmpeg,17788,414,0.02327411738250506
infer,IFR,binutils,4071,250,0.06140997297961189
codeql,CQL,libpng,398,18,0.04522613065326633
codeql,CQL,libtiff,826,31,0.03753026634382567
codeql,CQL,libxml2,2982,932,0.31254191817572097
codeql,CQL,poppler,4659,0,0.0
codeql,CQL,openssl,13036,2065,0.15840748695918994
codeql,CQL,php,9145,3900,0.4264625478403499
codeql,CQL,sqlite3,2298,327,0.1422976501305483
codeql,CQL,ffmpeg,17788,1463,0.08224645828648527
codeql,CQL,binutils,4071,0,0.0
codechecker,CCH,libpng,398,1,0.002512562814070352
codechecker,CCH,libtiff,826,3,0.0036319612590799033
codechecker,CCH,libxml2,2982,36,0.012072434607645875
codechecker,CCH,poppler,4659,46,0.00987336338270015
codechecker,CCH,openssl,13036,264,0.020251610923596196
codechecker,CCH,php,9145,73,0.007982504100601421
codechecker,CCH,sqlite3,2298,20,0.008703220191470844
codechecker,CCH,ffmpeg,17788,218,0.012255453114459186
codechecker,CCH,binutils,4071,65,0.01596659297469909
commsca,CSA,libpng,398,28,0.07035175879396985
commsca,CSA,libtiff,826,59,0.07142857142857142
commsca,CSA,libxml2,2982,535,0.17940979208584842
commsca,CSA,poppler,4659,478,0.10259712384631896
commsca,CSA,openssl,13036,1878,0.1440625958883093
commsca,CSA,php,9145,2435,0.26626571897211593
commsca,CSA,sqlite3,2298,272,0.11836379460400348
commsca,CSA,ffmpeg,17788,1639,0.09214076905779177
commsca,CSA,binutils,4071,1035,0.2542372881355932
flawfinder-cppcheck,FLF-CPC,libpng,398,22,0.05527638190954774
flawfinder-cppcheck,FLF-CPC,libtiff,826,18,0.021791767554479417
flawfinder-cppcheck,FLF-CPC,libxml2,2982,78,0.026156941649899398
flawfinder-cppcheck,FLF-CPC,poppler,4659,131,0.028117621807254776
flawfinder-cppcheck,FLF-CPC,openssl,13036,684,0.05247008284749923
flawfinder-cppcheck,FLF-CPC,php,9145,538,0.058829961727720065
flawfinder-cppcheck,FLF-CPC,sqlite3,2298,176,0.07658833768494343
flawfinder-cppcheck,FLF-CPC,ffmpeg,17788,1697,0.09540139419833596
flawfinder-cppcheck,FLF-CPC,binutils,4071,487,0.11962662736428396
flawfinder-infer,FLF-IFR,libpng,398,40,0.10050251256281408
flawfinder-infer,FLF-IFR,libtiff,826,65,0.07869249394673124
flawfinder-infer,FLF-IFR,libxml2,2982,113,0.03789403085177733
flawfinder-infer,FLF-IFR,poppler,4659,182,0.03906417686198755
flawfinder-infer,FLF-IFR,openssl,13036,1254,0.09619515188708193
flawfinder-infer,FLF-IFR,php,9145,834,0.09119737561509021
flawfinder-infer,FLF-IFR,sqlite3,2298,263,0.1144473455178416
flawfinder-infer,FLF-IFR,ffmpeg,17788,1409,0.07921070384528896
flawfinder-infer,FLF-IFR,binutils,4071,614,0.1508228936379268
flawfinder-codeql,FLF-CQL,libpng,398,35,0.08793969849246232
flawfinder-codeql,FLF-CQL,libtiff,826,44,0.053268765133171914
flawfinder-codeql,FLF-CQL,libxml2,2982,947,0.3175720992622401
flawfinder-codeql,FLF-CQL,poppler,4659,105,0.022537025112685124
flawfinder-codeql,FLF-CQL,openssl,13036,2377,0.18234120895980363
flawfinder-codeql,FLF-CQL,php,9145,4084,0.44658283214871514
flawfinder-codeql,FLF-CQL,sqlite3,2298,417,0.1814621409921671
flawfinder-codeql,FLF-CQL,ffmpeg,17788,2316,0.1302001349224196
flawfinder-codeql,FLF-CQL,binutils,4071,423,0.10390567428150331
flawfinder-codechecker,FLF-CCH,libpng,398,22,0.05527638190954774
flawfinder-codechecker,FLF-CCH,libtiff,826,21,0.025423728813559324
flawfinder-codechecker,FLF-CCH,libxml2,2982,103,0.03454057679409792
flawfinder-codechecker,FLF-CCH,poppler,4659,145,0.031122558488946125
flawfinder-codechecker,FLF-CCH,openssl,13036,698,0.05354403191162933
flawfinder-codechecker,FLF-CCH,php,9145,427,0.04669218151995626
flawfinder-codechecker,FLF-CCH,sqlite3,2298,146,0.06353350739773717
flawfinder-codechecker,FLF-CCH,ffmpeg,17788,1229,0.06909152237463459
flawfinder-codechecker,FLF-CCH,binutils,4071,471,0.1156963890935888
flawfinder-commsca,FLF-CSA,libpng,398,46,0.11557788944723618
flawfinder-commsca,FLF-CSA,libtiff,826,70,0.0847457627118644
flawfinder-commsca,FLF-CSA,libxml2,2982,563,0.18879946344735077
flawfinder-commsca,FLF-CSA,poppler,4659,561,0.12041210560206053
flawfinder-commsca,FLF-CSA,openssl,13036,2085,0.1599416999079472
flawfinder-commsca,FLF-CSA,php,9145,2600,0.28430836522689995
flawfinder-commsca,FLF-CSA,sqlite3,2298,336,0.1462140992167102
flawfinder-commsca,FLF-CSA,ffmpeg,17788,2428,0.13649651450416012
flawfinder-commsca,FLF-CSA,binutils,4071,1172,0.28788995332842054
cppcheck-infer,CPC-IFR,libpng,398,18,0.04522613065326633
cppcheck-infer,CPC-IFR,libtiff,826,48,0.05811138014527845
