Analyzer_Comb,Comb_Token,Target,Scenario,N_Detected_CVEs,N_All_CVEs
flawfinder,FLF,libpng,Scenario 1 (S.1-1),3,7
flawfinder,FLF,libpng,Scenario 2 (S.1-2),2,7
flawfinder,FLF,libpng,Scenario 3 (S.2-1),1,7
flawfinder,FLF,libpng,Scenario 4 (S.2-2),1,7
flawfinder,FLF,libtiff,Scenario 1 (S.1-1),1,13
flawfinder,FLF,libtiff,Scenario 2 (S.1-2),1,13
flawfinder,FLF,libtiff,Scenario 3 (S.2-1),0,13
flawfinder,FLF,libtiff,Scenario 4 (S.2-2),0,13
flawfinder,FLF,libxml2,Scenario 1 (S.1-1),5,17
flawfinder,FLF,libxml2,Scenario 2 (S.1-2),5,17
flawfinder,FLF,libxml2,Scenario 3 (S.2-1),4,17
flawfinder,FLF,libxml2,Scenario 4 (S.2-2),4,17
flawfinder,FLF,poppler,Scenario 1 (S.1-1),2,22
flawfinder,FLF,poppler,Scenario 2 (S.1-2),1,22
flawfinder,FLF,poppler,Scenario 3 (S.2-1),2,22
flawfinder,FLF,poppler,Scenario 4 (S.2-2),1,22
flawfinder,FLF,openssl,Scenario 1 (S.1-1),7,21
flawfinder,FLF,openssl,Scenario 2 (S.1-2),4,21
flawfinder,FLF,openssl,Scenario 3 (S.2-1),5,21
flawfinder,FLF,openssl,Scenario 4 (S.2-2),2,21
flawfinder,FLF,php,Scenario 1 (S.1-1),3,15
flawfinder,FLF,php,Scenario 2 (S.1-2),3,15
flawfinder,FLF,php,Scenario 3 (S.2-1),2,15
flawfinder,FLF,php,Scenario 4 (S.2-2),2,15
flawfinder,FLF,sqlite3,Scenario 1 (S.1-1),2,16
flawfinder,FLF,sqlite3,Scenario 2 (S.1-2),1,16
flawfinder,FLF,sqlite3,Scenario 3 (S.2-1),2,16
flawfinder,FLF,sqlite3,Scenario 4 (S.2-2),1,16
flawfinder,FLF,ffmpeg,Scenario 1 (S.1-1),7,22
flawfinder,FLF,ffmpeg,Scenario 2 (S.1-2),2,22
flawfinder,FLF,ffmpeg,Scenario 3 (S.2-1),6,22
flawfinder,FLF,ffmpeg,Scenario 4 (S.2-2),2,22
flawfinder,FLF,binutils,Scenario 1 (S.1-1),20,59
flawfinder,FLF,binutils,Scenario 2 (S.1-2),13,59
flawfinder,FLF,binutils,Scenario 3 (S.2-1),9,59
flawfinder,FLF,binutils,Scenario 4 (S.2-2),4,59
cppcheck,CPC,libpng,Scenario 1 (S.1-1),0,7
cppcheck,CPC,libpng,Scenario 2 (S.1-2),0,7
cppcheck,CPC,libpng,Scenario 3 (S.2-1),0,7
cppcheck,CPC,libpng,Scenario 4 (S.2-2),0,7
cppcheck,CPC,libtiff,Scenario 1 (S.1-1),0,13
cppcheck,CPC,libtiff,Scenario 2 (S.1-2),0,13
cppcheck,CPC,libtiff,Scenario 3 (S.2-1),0,13
cppcheck,CPC,libtiff,Scenario 4 (S.2-2),0,13
cppcheck,CPC,libxml2,Scenario 1 (S.1-1),1,17
cppcheck,CPC,libxml2,Scenario 2 (S.1-2),1,17
cppcheck,CPC,libxml2,Scenario 3 (S.2-1),1,17
cppcheck,CPC,libxml2,Scenario 4 (S.2-2),0,17
cppcheck,CPC,poppler,Scenario 1 (S.1-1),0,22
