Analyzer_Comb,Comb_Token,LL_CWE_ID,HL_CWE_ID,Scenario,N_Detected_CVEs,N_All_CVEs
flawfinder,FLF,399,664,Scenario 1 (S.1-1),0,4
flawfinder,FLF,399,664,Scenario 2 (S.1-2),0,4
flawfinder,FLF,399,664,Scenario 3 (S.2-1),0,4
flawfinder,FLF,399,664,Scenario 4 (S.2-2),0,4
flawfinder,FLF,681,664,Scenario 1 (S.1-1),0,1
flawfinder,FLF,681,664,Scenario 2 (S.1-2),0,1
flawfinder,FLF,681,664,Scenario 3 (S.2-1),0,1
flawfinder,FLF,681,664,Scenario 4 (S.2-2),0,1
flawfinder,FLF,611,664,Scenario 1 (S.1-1),0,1
flawfinder,FLF,611,664,Scenario 2 (S.1-2),0,1
flawfinder,FLF,611,664,Scenario 3 (S.2-1),0,1
flawfinder,FLF,611,664,Scenario 4 (S.2-2),0,1
flawfinder,FLF,416,664,Scenario 1 (S.1-1),0,7
flawfinder,FLF,416,664,Scenario 2 (S.1-2),0,7
flawfinder,FLF,416,664,Scenario 3 (S.2-1),0,7
flawfinder,FLF,416,664,Scenario 4 (S.2-2),0,7
flawfinder,FLF,20,707,Scenario 1 (S.1-1),3,11
flawfinder,FLF,20,707,Scenario 2 (S.1-2),0,11
flawfinder,FLF,20,707,Scenario 3 (S.2-1),3,11
flawfinder,FLF,20,707,Scenario 4 (S.2-2),0,11
flawfinder,FLF,835,691,Scenario 1 (S.1-1),0,6
flawfinder,FLF,835,691,Scenario 2 (S.1-2),0,6
flawfinder,FLF,835,691,Scenario 3 (S.2-1),0,6
flawfinder,FLF,835,691,Scenario 4 (S.2-2),0,6
flawfinder,FLF,401,664,Scenario 1 (S.1-1),0,1
flawfinder,FLF,401,664,Scenario 2 (S.1-2),0,1
flawfinder,FLF,401,664,Scenario 3 (S.2-1),0,1
flawfinder,FLF,401,664,Scenario 4 (S.2-2),0,1
flawfinder,FLF,131,682,Scenario 1 (S.1-1),0,1
flawfinder,FLF,131,682,Scenario 2 (S.1-2),0,1
flawfinder,FLF,131,682,Scenario 3 (S.2-1),0,1
flawfinder,FLF,131,682,Scenario 4 (S.2-2),0,1
flawfinder,FLF,772,664,Scenario 1 (S.1-1),0,2
flawfinder,FLF,772,664,Scenario 2 (S.1-2),0,2
flawfinder,FLF,772,664,Scenario 3 (S.2-1),0,2
flawfinder,FLF,772,664,Scenario 4 (S.2-2),0,2
flawfinder,FLF,119,664,Scenario 1 (S.1-1),16,36
flawfinder,FLF,119,664,Scenario 2 (S.1-2),15,36
flawfinder,FLF,119,664,Scenario 3 (S.2-1),10,36
flawfinder,FLF,119,664,Scenario 4 (S.2-2),9,36
flawfinder,FLF,190,682,Scenario 1 (S.1-1),4,17
flawfinder,FLF,190,682,Scenario 2 (S.1-2),0,17
flawfinder,FLF,190,682,Scenario 3 (S.2-1),4,17
flawfinder,FLF,190,682,Scenario 4 (S.2-2),0,17
flawfinder,FLF,664,664,Scenario 1 (S.1-1),0,1
flawfinder,FLF,664,664,Scenario 2 (S.1-2),0,1
flawfinder,FLF,664,664,Scenario 3 (S.2-1),0,1
flawfinder,FLF,664,664,Scenario 4 (S.2-2),0,1
flawfinder,FLF,369,682,Scenario 1 (S.1-1),1,8
flawfinder,FLF,369,682,Scenario 2 (S.1-2),0,8
flawfinder,FLF,369,682,Scenario 3 (S.2-1),1,8
flawfinder,FLF,369,682,Scenario 4 (S.2-2),0,8
flawfinder,FLF,476,703,Scenario 1 (S.1-1),5,29
flawfinder,FLF,476,703,Scenario 2 (S.1-2),0,29
flawfinder,FLF,476,703,Scenario 3 (S.2-1),2,29
flawfinder,FLF,476,703,Scenario 4 (S.2-2),0,29
flawfinder,FLF,129,707,Scenario 1 (S.1-1),1,1
flawfinder,FLF,129,707,Scenario 2 (S.1-2),0,1
flawfinder,FLF,129,707,Scenario 3 (S.2-1),0,1
flawfinder,FLF,129,707,Scenario 4 (S.2-2),0,1
flawfinder,FLF,787,664,Scenario 1 (S.1-1),4,12
flawfinder,FLF,787,664,Scenario 2 (S.1-2),4,12
flawfinder,FLF,787,664,Scenario 3 (S.2-1),1,12
flawfinder,FLF,787,664,Scenario 4 (S.2-2),1,12
flawfinder,FLF,415,664,Scenario 1 (S.1-1),0,1
flawfinder,FLF,415,664,Scenario 2 (S.1-2),0,1
flawfinder,FLF,415,664,Scenario 3 (S.2-1),0,1
flawfinder,FLF,415,664,Scenario 4 (S.2-2),0,1
flawfinder,FLF,617,691,Scenario 1 (S.1-1),1,1
flawfinder,FLF,617,691,Scenario 2 (S.1-2),0,1
flawfinder,FLF,617,691,Scenario 3 (S.2-1),1,1
flawfinder,FLF,617,691,Scenario 4 (S.2-2),0,1
flawfinder,FLF,125,664,Scenario 1 (S.1-1),13,50
flawfinder,FLF,125,664,Scenario 2 (S.1-2),12,50
